rental_id,predictions
7455565,2495
7473295,2190
7459804,2539
7456330,2800
7443595,1350
7502623,2100
7459171,1900
7447600,1295
7505254,2575
7454620,2100
7491007,2100
7436347,2650
7466659,2350
7490248,3500
7492504,2700
7526425,2300
7504825,2000
7497967,1625
7490707,3495
7474345,2399
7472725,1800
7433248,2100
7526272,2099
7522357,2150
7525759,2100
7466989,2545
7457077,2467
7439674,2495
7518937,3125
7443040,1400
7479157,2275
7483801,2500
7474399,1699
7429237,1900
7502632,1850
7515667,2695
7461496,1600
7465732,2999
7435060,1800
7458226,3295
7445410,1975
7499251,1700
7461037,3800
7488733,1550
7521874,2250
7456558,2575
7450864,1450
7494517,1650
7498903,2500
7432303,3850
7512142,1550
7523689,2495
7449199,2399
7470118,1450
7444498,2100
7459210,1400
7477885,2500
7513372,2300
7481134,4600
7459324,1750
7488910,2200
7486663,2050
7477414,1600
7454635,1800
7473799,1949
7461196,1979
7457425,2500
7445407,1899
7439704,2300
7452571,2800
7502347,3050
7518376,1800
7446019,2300
7521646,2571
7434499,1850
7482715,1899
7445545,2300
7494901,2600
7525078,1800
7438381,2250
7442140,1999
7502524,1800
7502260,3799
7435072,11000
7430758,2250
7502443,1575
7461880,2795
7513453,3200
7451116,2725
7504045,2154
7468498,2250
7444624,2399
7486999,1550
7494838,1995
7489303,1895
7438267,2600
7473199,1950
7428592,1800
7461337,2550
7460749,2300
7459465,2499
7454200,1550
7452784,1400
7507633,1627
7499707,3641
7494871,2900
7523899,4200
7505395,2413
7434838,3295
7458868,2900
7496047,2850
7455028,2095
7455085,1985
7456174,2000
7469155,1650
7479886,1800
7508587,2800
7486009,2472
7442338,3399
7464823,1950
7441951,3850
7503928,2350
7449589,3700
7430821,2910
7499623,2250
7457953,1995
7428274,2400
7442893,2750
7483291,3882
7461025,1800
7469401,2000
7483126,1695
7505737,4800
7463542,2500
7446730,2150
7485898,1700
7521427,2750
7503391,1800
7437241,2650
7475578,1999
7461466,3000
7488559,2000
7479541,3000
7449658,2300
7487395,1800
7444927,2100
7429288,1275
7500592,1850
7440085,2500
7453267,2495
7469326,2795
7465006,1650
7457725,1395
7466929,4600
7503616,3675
7428319,1899
7467406,2000
7496233,2195
7526167,3010
7431901,1500
7495603,2841
7476844,1995
7497298,3800
7487479,1795
7439176,2099
7483933,2154
7497910,3415
7429591,2099
7489111,3195
7436788,2299
7512379,2930
7504084,2625
7520494,2550
7518691,5850
7523161,1800
7457662,2853
7474786,1950
7462042,2300
7509409,5495
7433392,1850
7518970,1450
7434418,2150
7436077,3400
7448752,1800
7507612,2299
7489837,3199
7477345,1500
7465306,1700
7509745,1750
7464004,5700
7524127,1865
7439410,3200
7509091,1800
7462693,2400
7468843,4495
7455427,3505
7437487,3095
7459903,2250
7448014,1700
7522789,2400
7430842,3482
7450072,2800
7466944,2899
7475200,1950
7497190,2350
7510060,3375
7500163,2500
7499302,2800
7515844,1350
7465171,2995
7520419,6295
7496056,2295
7446301,1340
7433869,4500
7453876,3325
7518577,1785
7484767,2700
7452994,2300
7478860,2350
7432561,3667
7506658,1400
7514299,3350
7459348,3115
7457509,2000
7473550,2300
7522909,2895
7442284,4995
7468207,2200
7438996,1650
7451857,3130
7500499,2500
7451497,2600
7447138,1575
7500460,3554
7491028,3349
7469533,2695
7523344,1775
7445062,1750
7467043,1775
7478065,1800
7474738,1799
7491232,2500
7504657,4500
7496680,3399
7482862,1699
7481896,1600
7492579,1550
7482622,2350
7481044,2950
7499755,3700
7447573,1700
7515724,1700
7486351,2900
7451218,2150
7515250,2860
7446835,2700
7487320,4500
7495342,2450
7520392,1650
7440925,3524
7441153,1895
7468378,2350
7519360,1800
7491457,4300
7452802,1950
7438003,16000
7428508,2195
7478731,1795
7478917,3904
7469392,3250
7485754,2154
7503991,2000
7459273,2350
7523044,1599
7461745,1900
7477003,1450
7429963,1750
7477372,4095
7439656,2095
7441615,4195
7466533,2700
7458991,3300
7517233,3250
7520587,1950
7498735,1800
7438477,2750
7467103,2300
7504594,2200
7505833,3226
7484287,2700
7460593,2500
7504675,1699
7485427,3250
7434640,3300
7466623,1795
7524631,6000
7459051,3150
7438939,3625
7482130,2199
7484131,2195
7454077,4650
7472128,1500
7449169,2600
7486975,6900
7484500,3299
7516732,3950
7428985,3795
7474408,4195
7435396,2250
7484464,2000
7454980,2500
7444186,2609
7433704,2150
7446880,3000
7468243,2154
7521919,2897
7438519,2150
7523473,5000
7446913,2300
7463101,3200
7453729,1600
7464859,2841
7465084,3495
7449466,2150
7486744,1975
7452856,1950
7505170,3950
7485361,2600
7522447,2350
7429417,2350
7490803,2895
7479712,2850
7505866,2100
7441723,1775
7445857,2800
7432411,1750
7495618,3300
7491205,3950
7463587,1700
7464766,3000
7510696,2228
7476250,2200
7429258,2300
7481980,1850
7437793,2000
7491691,1975
7431544,2500
7430869,5270
7493533,2550
7450318,2200
7436338,4095
7475452,1575
7472254,2350
7484395,2600
7454095,3350
7495051,1995
7433407,2399
7483882,2170
7472614,2200
7454227,3000
7495090,1880
7461919,1595
7514611,1950
7441906,2500
7484479,2600
7511641,4482
7524268,1899
7437511,2250
7435846,2538
7521358,1395
7454965,1650
7496668,13995
7450321,2400
7449181,1850
7455925,2500
7449874,2100
7517239,2195
7439260,2400
7495072,2500
7469539,1795
7457773,2300
7461742,1500
7431043,1550
7435375,2199
7483195,2200
7470727,1599
7509406,3095
7447402,2395
7477765,2324
7521538,2950
7520935,3500
7486417,1550
7431961,2400
7453123,2595
7513069,1560
7510705,1995
7517389,1450
7498852,2250
7482625,2350
7491373,1799
7492234,4500
7490362,2700
7484377,1550
7495729,2350
7429174,1850
7478503,2200
7465477,1525
7438216,2400
7474279,3095
7431244,2350
7462531,5175
7485499,2930
7480960,1650
7463584,2100
7518280,2200
7462165,2300
7485103,2480
7453735,2350
7475206,2100
7483141,1650
7490623,2100
7465708,2480
7464019,1600
7466620,1825
7525567,2500
7478245,2500
7510474,1785
7453762,2350
7513057,1755
7456996,3250
7484644,1895
7465381,2400
7467373,2195
7483003,1695
7500601,1950
7482259,3050
7483159,5685
7478539,2500
7443886,3200
7431037,1325
7501825,1800
7484383,3000
7438777,1700
7522885,2600
7434523,3900
7522174,1750
7491952,3300
7456825,3325
7470232,1850
7506949,2499
7457344,3600
7500970,1675
7494541,2550
7503529,1450
7501516,1850
7443847,2650
7504567,2650
7509160,1450
7479787,1795
7462234,2300
7448005,9000
7479469,2900
7486423,2050
7510423,2250
7483285,1675
7521928,3446
7518400,1900
7502671,2299
7487875,1998
7505332,3095
7443985,1750
7525774,2299
7465072,7000
7511860,6800
7510459,1800
7457380,1899
7450813,2900
7469848,3185
7472542,3495
7497859,2495
7512139,2500
7474987,2195
7455826,1800
7456957,1825
7473631,2800
7492438,2450
7438219,2300
7431685,3100
7483927,3150
7482145,1700
7464847,3000
7467430,2075
7477744,2100
7464673,10000
7460932,1675
7455985,3450
7513000,1800
7498723,1800
7459582,3295
7466653,1800
7473607,1800
7519606,2250
7481377,2650
7431463,3163
7445587,1800
7442134,2446
7518013,4950
7482025,1275
7462813,1850
7467247,2050
7457011,1800
7464547,2300
7506769,3925
7517386,2250
7502689,2985
7465441,3641
7493404,4600
7497694,2382
7509568,2400
7471510,1750
7445854,4950
7494796,2350
7437994,2200
7450609,2500
7486267,1450
7510153,4600
7502038,1699
7467094,3554
7437229,2400
7514203,1800
7446901,2500
7466893,2600
7456342,2300
7486801,2154
7506916,3600
7442215,4970
7440868,1900
7515178,4200
7483621,2250
7514578,2400
7502446,2500
7451995,1850
7447285,2395
7495015,1975
7518631,2400
7476442,2200
7469572,2200
7451230,2125
7489279,3349
7513108,2100
7433668,1500
7451956,1599
7475107,1799
7446811,2400
7516117,2400
7518820,2000
7438684,6100
7483327,2400
7466005,3300
7435339,2200
7437013,2750
7451191,4895
7471774,3900
7439044,3900
7512625,2400
7485943,2600
7523248,2850
7500229,1395
7500739,2700
7514761,2375
7483363,4350
7439683,2580
7505323,2350
7464757,1750
7510219,2658
7511812,1600
7445182,1500
7449931,1400
7453216,2250
7497580,3000
7488331,1800
7464217,3195
7437187,2095
7524343,1700
7430311,3600
7475704,2756
7495531,1300
7445446,2400
7466968,2800
7482874,2200
7523158,1350
7445167,2500
7466572,2300
7446427,2995
7469695,1275
7509220,2999
7473697,3745
7437958,2800
7513429,2800
7440802,2250
7461127,3368
7429555,1399
7518394,2500
7475695,2800
7508416,2099
7428703,1995
7481110,2245
7495096,1999
7502551,1800
7465438,2095
7469458,3500
7444450,2000
7431652,2150
7430872,2584
7466200,2800
7473145,1350
7441375,1695
7500955,3499
7439575,2350
7449394,2338
7482328,1600
7437115,6185
7468804,2290
7515739,1950
7483495,2550
7498804,1575
7517179,1649
7458169,2750
7436305,1950
7430611,2100
7522369,2500
7463638,6450
7515022,1850
7456927,1400
7508488,2150
7504684,2000
7473562,2099
7433215,1950
7514143,1495
7508371,1600
7474774,2400
7449346,2450
7457917,1800
7514836,4700
7525597,2300
7447171,2100
7443286,2999
7512910,2300
7503424,4750
7477984,3524
7449361,2200
7440355,1750
7475218,2300
7474549,2000
7472083,2600
7440322,1999
7513768,6000
7477543,2900
7492906,6595
7520047,11000
7497886,2250
7521091,3440
7502230,2300
7483222,2650
7445098,2700
7448416,3250
7511608,3257
7457296,2469
7488793,2350
7525276,2100
7454878,2250
7508983,1795
7524847,2600
7499848,2300
7464802,2195
7459588,2350
7499431,1775
7447831,2250
7477045,2600
7462696,2400
7506775,3395
7519693,1995
7522114,7000
7431787,1900
7506604,2999
7451101,2700
7453510,1650
7463353,2520
7446400,1500
7506664,3150
7494439,1600
7453312,4650
7526140,1849
7452541,1995
7513006,22500
7485919,2375
7511632,3641
7490908,5500
7471507,1995
7523752,2100
7441912,2600
7445944,2099
7460767,1550
7446259,2595
7462783,2600
7505563,3000
7496194,2499
7433260,1650
7441807,1999
7520488,2850
7439983,2842
7512100,2300
7495222,2850
7498003,2300
7451845,1695
7471072,3500
7503238,2245
7498453,11950
7442662,2150
7493803,3310
7464232,13995
7474831,3850
7462066,2560
7489261,2595
7510816,2300
7483483,4500
7472671,1585
7466995,2000
7439440,1895
7432444,2154
7438087,2050
7439527,3000
7477960,2800
7466287,1650
7455385,2200
7503409,1900
7503643,3950
7508503,2250
7478074,7000
7490719,1695
7470130,1375
7438789,3650
7519465,2550
7428838,3208
7457467,2150
7481725,3495
7438504,1625
7444402,2500
7523311,2000
7480519,5000
7496269,2490
7503739,3399
7448575,2295
7457041,2100
7499338,3400
7506631,3552
7501480,2150
7480441,1892
7517593,3400
7453675,3700
7458598,4000
7479466,1595
7464676,2365
7459033,1800
7476415,1699
7442380,4657
7486471,1775
7479439,1700
7478413,1870
7498450,2500
7474810,1995
7442872,2750
7477381,1800
7501600,2500
7463785,13995
7518928,2000
7454350,2700
7467697,3400
7518529,1750
7428499,2099
7441162,1995
7523704,3050
7498759,1800
7488235,1975
7444399,2095
7477822,3650
7508038,2200
7507933,6733
7460218,1400
7490725,2000
7499452,1650
7487488,1900
7475797,1850
7516921,3000
7461520,2350
7503865,1595
7497145,1800
7446010,2050
7469680,1750
7496665,6000
7433905,2500
7505764,2100
7519312,1850
7526290,1995
7496812,2350
7481740,1795
7506526,2100
7521166,1625
7431580,4500
7456318,1800
7483306,1925
7485490,2250
7500802,2950
7443355,1750
7515619,1350
7516924,2195
7490779,2795
7441486,1599
7466341,2500
7497121,1500
7449520,1800
7453027,1695
7458331,1675
7500493,1895
7502881,1920
7505338,2150
7437982,2800
7483672,2200
7495252,2300
7434496,2100
7445347,3400
7495363,4000
7428859,2499
7522444,1625
7459801,2200
7513042,2150
7518043,2400
7523320,2100
7525888,2595
7509100,2600
7449073,3000
7444318,1525
7437835,2154
7459954,1800
7430917,2600
7476889,2399
7495708,1975
7495867,1450
7510732,1675
7481932,2000
7453555,2099
7481359,1850
7496416,3223
7519567,1475
7503934,2050
7508674,2900
7521865,2000
7511566,4482
7441129,2650
7477816,2650
7475971,2875
7489795,1275
7473766,1725
7475779,1995
7470277,9500
7473259,2200
7516006,3150
7512058,2100
7505590,1995
7454356,2595
7475116,2200
7447774,2650
7458388,1950
7456459,3650
7449115,2395
7437643,2000
7464325,3760
7471852,2500
7500250,12500
7506415,1899
7493827,1500
7433473,1550
7444408,2400
7441642,2275
7498249,9000
7499395,2665
7468408,2395
7430188,2400
7517479,2595
7454536,6000
7484284,1850
7458835,1875
7350481,1450
7516471,5400
7467691,1750
7440388,2950
7472059,2538
7480810,2000
7483021,1999
7449385,2250
7481431,2000
7506361,1900
7496215,1400
7465390,2584
7450675,2550
7453297,2900
7524022,2150
7484392,2853
7438510,2000
7482313,1600
7453474,1575
7440943,6000
7503829,1625
7458280,5650
7438411,1850
7461412,1625
7437634,4850
7443097,2930
7466269,2000
7451854,2550
7518862,2350
7452604,1800
7470883,1850
7510495,1850
7485454,3864
7496509,1675
7464460,1900
7441720,4400
7467292,3925
7454308,2121
7474393,1575
7432672,15000
7462552,2350
7473736,2405
7464763,3310
7489822,1900
7469194,3000
7465162,2495
7483513,3500
7472086,2400
7504150,2500
7455355,2250
7518904,2600
7474354,3150
7466524,3300
7523452,2800
7481356,2200
7469857,1975
7519753,1350
7437199,2300
7507393,2350
7430455,2595
7524517,2645
7488694,3300
7464034,3550
7457227,1675
7449757,1650
7498591,2750
7461859,2500
7438858,3199
7508347,2399
7491664,1900
7443535,1825
7462660,3450
7517137,1900
7476301,2095
7459576,5685
7480249,2650
7471309,2500
7452322,2040
7500451,1600
7477702,1850
7437103,3483
7461793,1699
7461973,3300
7473946,3000
7457638,3069
7452988,1600
7510435,3000
7454023,4815
7430482,2350
7433830,7000
7509817,1495
7488412,1800
7429165,1550
7445374,2400
7477567,4200
7476448,2300
7439155,3294
7498534,2650
7479376,2420
7439365,3075
7489600,2500
7478236,2000
7495507,2300
7467133,1950
7486840,1999
7466107,2145
7518310,4200
7500763,2250
7430761,3250
7452124,2600
7462585,1750
7503148,1995
7460089,3133
7442890,2100
7525273,2000
7492477,2495
7500736,2950
7429774,2154
7438981,1675
7430524,2350
7505020,1800
7519135,1250
7510651,1595
7508209,1995
7512340,3795
7432519,1892
7507249,2300
7497040,1599
7468810,1575
7507963,5700
7511710,2695
7468063,3600
7516000,1750
7446418,3700
7433368,1800
7488967,6000
7518298,1950
7512421,1950
7501165,1900
7478461,2395
7440214,3800
7428607,1975
7515514,3000
7477366,2550
7523155,2199
7463722,2495
7431460,3882
7501300,1950
7438918,1575
7485178,1800
7459189,1750
7457548,1775
7450444,1950
7512859,2400
7453738,2975
7446490,1800
7470256,1550
7471183,2950
7444204,2999
7467379,2700
7497883,2520
7475236,2050
7449064,2150
7511635,4675
7478371,2500
7491925,1600
7432429,1800
7452577,5000
7456390,1795
7504138,2400
7454746,2500
7511653,4675
7489027,1325
7520782,2395
7523755,2300
7499398,1810
7429012,3860
7482262,6000
7506286,2575
7458571,2800
7466218,5595
7449880,2685
7504501,3350
7494826,2750
7506739,2154
7444438,2495
7459129,1700
7521409,2100
7443124,2895
7503679,2500
7490011,2100
7526119,3900
7514095,1725
7513894,3095
7515091,2650
7430551,3500
7524220,3295
7469272,2850
7441228,1900
7464343,1695
7484917,2500
7442770,2899
7526215,2295
7430941,2783
7434982,2400
7428850,2800
7482859,2375
7506589,1649
7449916,1800
7500211,2992
7505629,2500
7460293,2100
7491523,3050
7479355,2900
7518535,2000
7487806,1650
7493788,7000
7515712,1975
7502161,2899
7484005,2299
7497322,1558
7485892,1600
7468447,2550
7439752,2750
7437886,2300
7438171,2050
7492453,3000
7477321,1700
7504411,1950
7429786,2413
7493644,2954
7497286,2595
7483198,2500
7439458,2100
7501177,2400
7480159,1800
7518640,2275
7456483,1450
7465222,3419
7489399,1350
7469854,2291
7431751,1950
7488205,1400
7494553,9000
7462456,3700
7437853,6100
7501753,3125
7474687,2650
7484314,1750
7440838,2000
7506952,2000
7442878,1750
7509685,2350
7510405,1600
7483858,2000
7517725,1450
7489927,1795
7515961,1400
7521805,1899
7477012,2990
7447552,1475
7458952,3200
7511950,1900
7463593,2000
7490311,3138
7520542,1350
7483759,2195
7442242,1500
7469491,1850
7513156,2200
7479031,3600
7523407,1600
7441030,1850
7437418,2099
7478149,1675
7429822,3000
7477897,2154
7504648,2665
7484548,2750
7482973,2100
7496122,2550
7513753,6000
7508788,3250
7470925,1900
7433299,1895
7431121,2250
7461694,2800
7495753,2100
7496059,2850
7469785,2237
7467478,2446
7463692,2300
7473583,1800
7495771,4400
7475101,2195
7440670,1995
7477531,2295
7430662,1375
7522798,1675
7442626,3392
7471228,2600
7486621,3500
7434628,3356
7431247,2500
7519090,2498
7449043,4657
7499173,3995
7441324,2600
7506727,3950
7475470,1795
7520932,3399
7464832,1850
7525738,2950
7431181,2200
7438798,2287
7523224,2250
7525120,3375
7473703,2500
7491718,2500
7452529,1875
7454827,3950
7492531,2100
7460710,1850
7433485,2000
7506823,1475
7490911,2300
7473700,2045
7442155,1500
7520209,3725
7480549,1345
7525609,3450
7457503,2950
7476604,1999
7457203,1250
7437073,1600
7492411,2100
7477273,2100
7495546,1750
7459300,2000
7493584,2850
7485502,2600
7435828,1850
7485967,2750
7484248,1889
7466611,1975
7447288,1795
7490923,3095
7516525,2399
7469008,2500
7441945,2100
7467049,2899
7525546,2199
7441690,2350
7503676,2650
7446304,1700
7495519,2100
7451824,2900
7505104,2175
7446097,2950
7470637,2000
7523449,2399
7438780,1800
7472428,2250
7452853,3495
7524055,15000
7521400,1999
7499593,1625
7442458,2700
7455424,4500
7443214,1700
7511296,2495
7478467,1700
7491982,7950
7517290,2725
7492267,1650
7430818,2841
7430251,4199
7488835,2050
7489447,3000
7525363,1650
7453108,1275
7481668,1800
7474450,2150
7459864,2850
7468558,2100
7438873,1800
7498090,1900
7442977,1630
7496272,5000
7431001,5270
7501144,1650
7489876,1699
7477162,1550
7443514,1450
7438966,2595
7516606,1750
7473943,2220
7483567,2599
7442479,1785
7498384,1950
7447744,2500
7428595,3500
7444396,2000
7476784,1800
7436785,2299
7467229,1995
7487530,2175
7503121,1800
7485007,1600
7485448,2750
7453306,1575
7513954,4199
7435639,1700
7501174,3600
7468111,2550
7471942,2250
7453864,1800
7475626,2300
7510930,1750
7518736,2100
7442875,2500
7525111,2200
7429750,1700
7507207,2950
7476952,3650
7489951,2150
7476487,4095
7475023,1600
7453582,1650
7474708,2250
7428526,1550
7458487,1450
7470052,3200
7453303,1550
7462108,1975
7432612,2950
7519936,2495
7465759,1645
7436101,3295
7502140,2250
7490485,1700
7430809,2665
7499080,2299
7444729,2200
7453822,3860
7432963,1800
7435813,2000
7453258,1425
7466647,1800
7451869,2800
7492321,3483
7469683,3650
7456843,1775
7446616,3500
7467700,3400
7444093,2300
7485358,1875
7472971,2875
7457419,3600
7484545,1500
7452607,3950
7440901,2100
7475584,2095
7432879,1950
7440142,2250
7515754,2395
7444420,2595
7479958,2900
7476601,3250
7451893,2800
7481017,3830
7472422,3900
7478653,1700
7440613,1600
7514140,4135
7433554,3300
7487461,1699
7459549,2500
7500742,3500
7447981,2399
7519015,1900
7432627,2600
7476961,4950
7513552,1800
7495591,2100
7431535,2600
7523758,1700
7429303,3140
7477501,1500
7442935,2200
7472479,2750
7444708,1800
7443316,1845
7511092,2250
7523740,5200
7450456,1999
7445584,1800
7522366,1650
7515865,3600
7499125,1800
7472653,1745
7460584,2275
7447255,4580
7503550,3000
7466902,2200
7457056,2795
7465498,2650
7492822,1750
7435381,1750
7453492,2200
7487221,2850
7502863,1750
7508527,3195
7462678,2795
7435039,1825
7444738,2550
7515466,1500
7483213,2000
7462519,3820
7473364,2850
7480192,2800
7432729,2200
7510633,2300
7512313,2250
7506856,1625
7450426,2150
7435348,1700
7473964,2300
7513549,2500
7431379,2300
7433764,6900
7430146,2595
7497931,6000
7501081,1900
7506049,2800
7435867,3407
7470799,1800
7456012,1700
7505335,2350
7485088,1300
7479751,3100
7461244,1999
7457242,1850
7459885,2150
7432399,2350
7452169,1675
7475008,2300
7524241,2750
7441549,2200
7469707,2650
7450300,2995
7495951,1775
7447144,1900
7462303,2300
7453174,3349
7491424,2500
7525042,2154
7460419,3250
7464403,1975
7526230,1800
7441213,2500
7522408,4400
7468402,2100
7503379,2575
7463467,3150
7523353,2150
7449643,2500
7525603,1899
7498561,3395
7450930,1625
7460755,1375
7439740,2985
7507693,1395
7511128,2750
7501270,3495
7450327,2100
7518490,4950
7471351,2650
7469812,3550
7442230,2250
7481857,3300
7474495,2300
7521586,2300
7457950,2400
7444627,3300
7442683,1550
7522066,1400
7501711,1850
7483612,2100
7492297,2750
7433950,2350
7512469,3495
7443451,2290
7433530,2499
7431133,1850
7499641,3250
7495744,1900
7433599,2750
7510249,4500
7439350,3400
7525999,2095
7466290,2100
7438450,1800
7457218,1900
7465201,3950
7431118,3150
7431589,3000
7443349,2000
7468078,2300
7436485,2500
7525936,1850
7493200,1845
