zipcode,Occurrences
11101,12
10457,12
10002,11
10456,11
10019,11
11201,11
10468,10
11208,9
10458,9
10011,9
10003,8
10023,8
11432,8
10451,8
10463,7
11214,7
11211,7
10473,7
11236,7
11207,6
11203,6
10029,6
10461,6
11225,6
10467,6
10040,5
10469,5
11237,5
10460,5
10472,5
11235,5
11226,5
11373,5
11206,5
11215,4
11221,4
10036,4
10038,4
10010,4
11411,4
11213,4
11413,4
10004,4
11106,4
11694,4
10455,4
10016,3
11205,3
10466,3
11354,3
10314,3
10301,3
10024,3
10030,3
10459,3
11375,3
11217,3
10454,3
10065,3
11212,3
11434,3
11691,3
11367,2
11366,2
11355,2
10453,2
11417,2
10306,2
11427,2
11433,2
11238,2
10475,2
10027,2
11224,2
10034,2
10006,2
10032,2
11204,2
10031,2
10026,2
10013,2
11233,2
11222,1
11220,1
11368,1
11223,1
11365,1
11364,1
11230,1
11361,1
11358,1
11229,1
11218,1
11231,1
10312,1
11232,1
10304,1
10302,1
11385,1
11418,1
11412,1
11216,1
10009,1
10462,1
10021,1
10033,1
10035,1
10039,1
10452,1
11102,1
11103,1
10128,1
11209,1
11426,1
11423,1
11420,1
11419,1
11210,1
11416,1
10282,1
